Time,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,Compound,TyreLife,Position,IsAccurate
0 days 01:05:58.337000,2.0,0 days 00:01:39.166000,0 days 00:00:31.408000,0 days 00:00:43.352000,0 days 00:00:24.406000,234.0,247.0,282.0,SOFT,5.0,5.0,True
0 days 01:07:37.557000,3.0,0 days 00:01:39.220000,0 days 00:00:31.298000,0 days 00:00:43.499000,0 days 00:00:24.423000,228.0,246.0,283.0,SOFT,6.0,5.0,True
0 days 01:09:16.755000,4.0,0 days 00:01:39.198000,0 days 00:00:31.315000,0 days 00:00:43.446000,0 days 00:00:24.437000,231.0,240.0,282.0,SOFT,7.0,5.0,True
0 days 01:10:56.090000,5.0,0 days 00:01:39.335000,0 days 00:00:31.350000,0 days 00:00:43.508000,0 days 00:00:24.477000,230.0,246.0,281.0,SOFT,8.0,5.0,True
0 days 01:12:35.846000,6.0,0 days 00:01:39.756000,0 days 00:00:31.434000,0 days 00:00:43.751000,0 days 00:00:24.571000,231.0,245.0,282.0,SOFT,9.0,5.0,True
0 days 01:14:15.603000,7.0,0 days 00:01:39.757000,0 days 00:00:31.480000,0 days 00:00:43.664000,0 days 00:00:24.613000,233.0,249.0,281.0,SOFT,10.0,5.0,True
0 days 01:15:55.870000,8.0,0 days 00:01:40.267000,0 days 00:00:31.718000,0 days 00:00:43.820000,0 days 00:00:24.729000,231.0,249.0,280.0,SOFT,11.0,5.0,True
0 days 01:17:36.193000,9.0,0 days 00:01:40.323000,0 days 00:00:31.893000,0 days 00:00:43.776000,0 days 00:00:24.654000,231.0,249.0,281.0,SOFT,12.0,5.0,True
0 days 01:19:16.482000,10.0,0 days 00:01:40.289000,0 days 00:00:31.649000,0 days 00:00:43.985000,0 days 00:00:24.655000,230.0,248.0,280.0,SOFT,13.0,5.0,True
0 days 01:20:57.234000,11.0,0 days 00:01:40.752000,0 days 00:00:31.823000,0 days 00:00:44.205000,0 days 00:00:24.724000,230.0,243.0,280.0,SOFT,14.0,5.0,True
0 days 01:26:18.057000,14.0,0 days 00:01:38.308000,0 days 00:00:30.783000,0 days 00:00:43.351000,0 days 00:00:24.174000,232.0,226.0,283.0,HARD,2.0,7.0,True
0 days 01:27:56.584000,15.0,0 days 00:01:38.527000,0 days 00:00:31.230000,0 days 00:00:43.259000,0 days 00:00:24.038000,231.0,240.0,283.0,HARD,3.0,6.0,True
0 days 01:29:35.201000,16.0,0 days 00:01:38.617000,0 days 00:00:31.162000,0 days 00:00:43.414000,0 days 00:00:24.041000,232.0,232.0,282.0,HARD,4.0,5.0,True
0 days 01:31:13.905000,17.0,0 days 00:01:38.704000,0 days 00:00:31.160000,0 days 00:00:43.372000,0 days 00:00:24.172000,231.0,242.0,282.0,HARD,5.0,5.0,True
0 days 01:32:52.595000,18.0,0 days 00:01:38.690000,0 days 00:00:31.263000,0 days 00:00:43.262000,0 days 00:00:24.165000,232.0,240.0,282.0,HARD,6.0,5.0,True
0 days 01:34:31.279000,19.0,0 days 00:01:38.684000,0 days 00:00:31.294000,0 days 00:00:43.297000,0 days 00:00:24.093000,232.0,238.0,282.0,HARD,7.0,5.0,True
0 days 01:36:09.757000,20.0,0 days 00:01:38.478000,0 days 00:00:31.163000,0 days 00:00:43.227000,0 days 00:00:24.088000,233.0,234.0,282.0,HARD,8.0,5.0,True
0 days 01:37:48.338000,21.0,0 days 00:01:38.581000,0 days 00:00:31.151000,0 days 00:00:43.350000,0 days 00:00:24.080000,230.0,235.0,282.0,HARD,9.0,5.0,True
0 days 01:39:26.798000,22.0,0 days 00:01:38.460000,0 days 00:00:31.336000,0 days 00:00:43.109000,0 days 00:00:24.015000,229.0,238.0,283.0,HARD,10.0,5.0,True
0 days 01:41:05.182000,23.0,0 days 00:01:38.384000,0 days 00:00:31.164000,0 days 00:00:43.210000,0 days 00:00:24.010000,231.0,236.0,283.0,HARD,11.0,5.0,True
0 days 01:42:43.549000,24.0,0 days 00:01:38.367000,0 days 00:00:31.202000,0 days 00:00:43.079000,0 days 00:00:24.086000,230.0,244.0,282.0,HARD,12.0,5.0,True
0 days 01:44:21.839000,25.0,0 days 00:01:38.290000,0 days 00:00:31.209000,0 days 00:00:42.970000,0 days 00:00:24.111000,232.0,245.0,283.0,HARD,13.0,5.0,True
0 days 01:46:00.178000,26.0,0 days 00:01:38.339000,0 days 00:00:31.345000,0 days 00:00:42.890000,0 days 00:00:24.104000,231.0,250.0,283.0,HARD,14.0,5.0,True
0 days 01:47:38.547000,27.0,0 days 00:01:38.369000,0 days 00:00:31.379000,0 days 00:00:42.864000,0 days 00:00:24.126000,231.0,251.0,283.0,HARD,15.0,5.0,True
0 days 01:49:16.812000,28.0,0 days 00:01:38.265000,0 days 00:00:31.232000,0 days 00:00:42.845000,0 days 00:00:24.188000,231.0,251.0,283.0,HARD,16.0,5.0,True
0 days 01:50:55.192000,29.0,0 days 00:01:38.380000,0 days 00:00:31.319000,0 days 00:00:42.914000,0 days 00:00:24.147000,232.0,252.0,284.0,HARD,17.0,5.0,True
0 days 01:56:13.433000,32.0,0 days 00:01:37.563000,0 days 00:00:30.795000,0 days 00:00:42.982000,0 days 00:00:23.786000,234.0,236.0,285.0,HARD,2.0,6.0,True
0 days 01:57:50.982000,33.0,0 days 00:01:37.549000,0 days 00:00:30.882000,0 days 00:00:42.999000,0 days 00:00:23.668000,229.0,228.0,284.0,HARD,3.0,6.0,True
